"Network","Domain","Path","Name","Value","Last Checked","Information Page","Notes"
,"admonkey.dapper.net","/","DAPPEROPTOUT","OPT-OUT","2010-11-16 00:00:76","Thanks to Jim Brock at PrivacyChoice",
,"ads.bridgetrack.com","/","BTA","GUID=00000000000000000000000000000000","2010-11-16 00:00:77","Thanks to Jim Brock at PrivacyChoice",
,"ads.e-planning.net","/","E-Planning.NET","OPTOUT","2010-11-16 00:00:78","Thanks to Jim Brock at PrivacyChoice",
,"ads.heias.de","/","hco","a%3A2%3A%7Bi%3A0%3Bs%3A4%3A%22TRUE%22%3Bi%3A1%3Bi%3A1397354654%3B%7D","2010-11-16 00:00:79","Thanks to Jim Brock at PrivacyChoice",
,"ads.pointroll.com","/","PRID","OPTOUT","2010-11-16 00:00:80","Thanks to Jim Brock at PrivacyChoice",
,"ads.undertone.com","/","UTOPTOUT","OPTOUT","2010-11-16 00:00:81","Thanks to Jim Brock at PrivacyChoice",
,"ads.us.e-planning.net","/","US.E-Planning.NET","OPTOUT","2010-11-16 00:00:82","Thanks to Jim Brock at PrivacyChoice",
,"adsfac.eu","/","OO","OO=1","2010-11-16 00:00:83","Thanks to Jim Brock at PrivacyChoice",
,"adsfac.net","/","OO","OO=1","2010-11-16 00:00:84","Thanks to Jim Brock at PrivacyChoice",
,"adsfac.sg","/","OO","OO=1","2010-11-16 00:00:85","Thanks to Jim Brock at PrivacyChoice",
,"adsfac.us","/","OO","OO=1","2010-11-16 00:00:86","Thanks to Jim Brock at PrivacyChoice",
,"adsonar.com","/","oo_flag","f","2010-11-16 00:00:87","Thanks to Jim Brock at PrivacyChoice",
,"adv.adsbwm.com","/","OxaMedia_OPT_OUT",,"2010-11-16 00:00:88","Thanks to Jim Brock at PrivacyChoice",
,"amadesa.com","/","amOptout",1,"2010-11-16 00:00:89","Thanks to Jim Brock at PrivacyChoice",
,"amgdgt.com","/","OptOut","AAAAAQAUMcmt2dLy01_5OEIR8ei6TnoK9XEAAEwUvPxVWUKxtPOEtjKZGR8-","2010-11-16 00:00:90","Thanks to Jim Brock at PrivacyChoice",
,"apps.pubmatic.com","/","pmoo",1,"2010-11-16 00:00:91","Thanks to Jim Brock at PrivacyChoice",
,"assets.invitemedia.com","/","optout",1,"2010-11-16 00:00:92","Thanks to Jim Brock at PrivacyChoice",
,"assets.invitemedia.com","/","uid",0,"2010-11-16 00:00:93","Thanks to Jim Brock at PrivacyChoice",
,".invitemedia.com","/","optout","*","2011-06-17 00:43:00","From http://www.aboutads.info/choices/",
,"bluestreak.com","/","id","OPT_OUT","2010-11-16 00:00:94","Thanks to Jim Brock at PrivacyChoice",
,"bnmla.com","/","optout",1,"2010-11-16 00:00:95","Thanks to Jim Brock at PrivacyChoice",
,"connect.wunderloop.net","/","WlOptOut","DONT","2010-11-16 00:00:96","Thanks to Jim Brock at PrivacyChoice",
,"crwdcntrl.net","/","cc","optout","2010-11-16 00:00:97","Thanks to Jim Brock at PrivacyChoice",
,"designbloxlive.com","/","Adroit_id","opt_out","2010-11-16 00:00:98","Thanks to Jim Brock at PrivacyChoice",
,"designbloxlive.com","/","Adroit_vars","opt_out","2010-11-16 00:00:99","Thanks to Jim Brock at PrivacyChoice",
,"domdex.com","/","optout",1,"2010-11-16 00:00:100","Thanks to Jim Brock at PrivacyChoice",
,"doubleclick.net","/","id","OPT_OUT","2010-11-16 00:00:101","Thanks to Jim Brock at PrivacyChoice",
,"fwmrm.net","/","opt_out",1,"2010-11-16 00:00:102","Thanks to Jim Brock at PrivacyChoice",
,"g.adspeed.net","/","ASOptOut",1,"2010-11-16 00:00:103","Thanks to Jim Brock at PrivacyChoice",
,"interclick.com","/","Opt","out","2010-11-16 00:00:104","Thanks to Jim Brock at PrivacyChoice",
,"load.exelator.com","/","DNP","eXelate+OptOut","2010-11-16 00:00:105","Thanks to Jim Brock at PrivacyChoice",
,"log.doubleverify.com","/","dv_opt_out",0,"2010-11-16 00:00:106","Thanks to Jim Brock at PrivacyChoice",
,"lulu.ru4.com","/","ru4.optout",1,"2010-11-16 00:00:107","Thanks to Jim Brock at PrivacyChoice",
,"nextag.com","/","ntad","opt-out","2010-11-16 00:00:108","Thanks to Jim Brock at PrivacyChoice",
,"nspmotion.com","/","admcol","ip=1200750637&dbs=0&fs=0&uid=1","2010-11-16 00:00:109","Thanks to Jim Brock at PrivacyChoice",
,"opt.w55c.net","/","optout",1,"2010-11-16 00:00:110","Thanks to Jim Brock at PrivacyChoice",
,"optout.ib-ibi.com","/","ib-ibi.com-OptOut","IsOptOut=true","2010-11-16 00:00:111","Thanks to Jim Brock at PrivacyChoice",
,"p.brilig.com","/","BriligContact","OPT_OUT","2010-11-16 00:00:112","Thanks to Jim Brock at PrivacyChoice",
,"qjex.net","/","optout",1,"2010-11-16 00:00:113","Thanks to Jim Brock at PrivacyChoice",
,"rlcdn.com","/","optout","Opted+Out+of+RapLeaf+Cookies%2C+to+re-enable+simply+delete+this+cookie.","2010-11-16 00:00:114","Thanks to Jim Brock at PrivacyChoice",
,"search.netseer.com","/","netseer_optout","optout","2010-11-16 00:00:115","Thanks to Jim Brock at PrivacyChoice",
,"spongecell.com","/","cookie_opt_out",1,"2010-11-16 00:00:116","Thanks to Jim Brock at PrivacyChoice",
,"spotexchange.com","/","opt_out-0","b3B0X291dAlvcHRfb3V0CWNvb2tpZV9kb21haW4Jd3d3LnNwb3R4Y2hhbmdlLmNvbQljcmVhdGVkX2RhdGUJMTI0MDAwMzQ5Nwltb2RpZmllZF9kYXRlCTEyNDAwMDM0OTcK","2010-11-16 00:00:117","Thanks to Jim Brock at PrivacyChoice",
,"tealium.com","/","SM_OPTOUT",1,"2010-11-16 00:00:118","Thanks to Jim Brock at PrivacyChoice",
,"tracking.intermundomedia.com","/","ID","OPT_OUT","2010-11-16 00:00:119","Thanks to Jim Brock at PrivacyChoice",
,"tracking.quisma.com","/","tracker_optout",1,"2010-11-16 00:00:120","Thanks to Jim Brock at PrivacyChoice",
,"tracking.reedge.com","/","REED_optout","all%3DMQ%3D%3D","2010-11-16 00:00:121","Thanks to Jim Brock at PrivacyChoice",
,"tribalfusion.com","/","ANON_ID","OptOut","2010-11-16 00:00:122","Thanks to Jim Brock at PrivacyChoice",
,"vitamine.networldmedia.net","/","OPTOUT",1,"2010-11-16 00:00:123","Thanks to Jim Brock at PrivacyChoice",
,"www.acxiom.com","/","CP","null*","2010-11-16 00:00:124","Thanks to Jim Brock at PrivacyChoice",
,"www.inadcoads.com","/","_iad_vsid","99999999-9999-9999-9999-999999999999","2010-11-16 00:00:125","Thanks to Jim Brock at PrivacyChoice",
